NORMALITY:
                                                         W      pval  normal
         retweets_distilbert_False_MLPClassifier              retweets_roberta_True_XGBClassifier    0.068  0.001  0.0336  0.1025   True
         retweets_distilbert_False_MLPClassifier          retweets_structured_False_MLPClassifier  -0.0578  0.001 -0.0922 -0.0234   True
         retweets_distilbert_False_MLPClassifier retweets_structured_False_RandomForestClassifier  -0.0431  0.001 -0.0776 -0.0087   True
         retweets_distilbert_False_MLPClassifier        retweets_structured_False_RidgeClassifier  -0.0431  0.001 -0.0776 -0.0087   True
         retweets_distilbert_False_MLPClassifier          retweets_structured_False_XGBClassifier  -0.0518  0.001 -0.0862 -0.0174   True
retweets_distilbert_False_RandomForestClassifier        retweets_distilbert_False_RidgeClassifier      0.0    0.9 -0.0344  0.0344  False
retweets_distilbert_False_RandomForestClassifier          retweets_distilbert_False_XGBClassifier   -0.002    0.9 -0.0364  0.0324  False
retweets_distilbert_False_RandomForestClassifier           retweets_distilbert_True_MLPClassifier  -0.0331 0.0817 -0.0676  0.0013  False
retweets_distilbert_False_RandomForestClassifier  retweets_distilbert_True_RandomForestClassifier  -0.0016    0.9  -0.036  0.0329  False
retweets_distilbert_False_RandomForestClassifier         retweets_distilbert_True_RidgeClassifier  -0.0016    0.9  -0.036  0.0329  False
retweets_distilbert_False_RandomForestClassifier           retweets_distilbert_True_XGBClassifier  -0.0033    0.9 -0.0378  0.0311  False
retweets_distilbert_False_RandomForestClassifier            retweets_fasttext_False_MLPClassifier  -0.0153    0.9 -0.0498  0.0191  False
retweets_distilbert_False_RandomForestClassifier   retweets_fasttext_False_RandomForestClassifier  -0.0067    0.9 -0.0411  0.0278  False
retweets_distilbert_False_RandomForestClassifier          retweets_fasttext_False_RidgeClassifier  -0.0067    0.9 -0.0411  0.0278  False
retweets_distilbert_False_RandomForestClassifier            retweets_fasttext_False_XGBClassifier   0.0002    0.9 -0.0342  0.0347  False
retweets_distilbert_False_RandomForestClassifier             retweets_fasttext_True_MLPClassifier  -0.0089    0.9 -0.0433  0.0255  False
retweets_distilbert_False_RandomForestClassifier    retweets_fasttext_True_RandomForestClassifier  -0.0018    0.9 -0.0362  0.0327  False
retweets_distilbert_False_RandomForestClassifier           retweets_fasttext_True_RidgeClassifier  -0.0018    0.9 -0.0362  0.0327  False
retweets_distilbert_False_RandomForestClassifier             retweets_fasttext_True_XGBClassifier   0.0044    0.9   -0.03  0.0389  False
retweets_distilbert_False_RandomForestClassifier               retweets_glove_False_MLPClassifier  -0.0233 0.7399 -0.0578  0.0111  False
retweets_distilbert_False_RandomForestClassifier      retweets_glove_False_RandomForestClassifier  -0.0064    0.9 -0.0409   0.028  False
retweets_distilbert_False_RandomForestClassifier             retweets_glove_False_RidgeClassifier  -0.0064    0.9 -0.0409   0.028  False
retweets_distilbert_False_RandomForestClassifier               retweets_glove_False_XGBClassifier  -0.0004    0.9 -0.0349   0.034  False
retweets_distilbert_False_RandomForestClassifier                retweets_glove_True_MLPClassifier   -0.012    0.9 -0.0464  0.0224  False
retweets_distilbert_False_RandomForestClassifier       retweets_glove_True_RandomForestClassifier  -0.0082    0.9 -0.0427  0.0262  False
retweets_distilbert_False_RandomForestClassifier              retweets_glove_True_RidgeClassifier  -0.0082    0.9 -0.0427  0.0262  False
retweets_distilbert_False_RandomForestClassifier                retweets_glove_True_XGBClassifier   0.0013    0.9 -0.0331  0.0358  False
retweets_distilbert_False_RandomForestClassifier             retweets_roberta_False_MLPClassifier     0.01    0.9 -0.0244  0.0445  False
retweets_distilbert_False_RandomForestClassifier    retweets_roberta_False_RandomForestClassifier   0.0211    0.9 -0.0133  0.0556  False
retweets_distilbert_False_RandomForestClassifier           retweets_roberta_False_RidgeClassifier   0.0211    0.9 -0.0133  0.0556  False
retweets_distilbert_False_RandomForestClassifier             retweets_roberta_False_XGBClassifier   0.0325 0.1013  -0.002  0.0669  False
retweets_distilbert_False_RandomForestClassifier              retweets_roberta_True_MLPClassifier  -0.0125    0.9 -0.0469  0.0219  False
retweets_distilbert_False_RandomForestClassifier     retweets_roberta_True_RandomForestClassifier   0.0225 0.8057  -0.012  0.0569  False
retweets_distilbert_False_RandomForestClassifier            retweets_roberta_True_RidgeClassifier   0.0225 0.8057  -0.012  0.0569  False
retweets_distilbert_False_RandomForestClassifier              retweets_roberta_True_XGBClassifier   0.0385 0.0092   0.004  0.0729   True
retweets_distilbert_False_RandomForestClassifier          retweets_structured_False_MLPClassifier  -0.0874  0.001 -0.1218 -0.0529   True
retweets_distilbert_False_RandomForestClassifier retweets_structured_False_RandomForestClassifier  -0.0727  0.001 -0.1071 -0.0383   True
retweets_distilbert_False_RandomForestClassifier        retweets_structured_False_RidgeClassifier  -0.0727  0.001 -0.1071 -0.0383   True
retweets_distilbert_False_RandomForestClassifier          retweets_structured_False_XGBClassifier  -0.0814  0.001 -0.1158 -0.0469   True
       retweets_distilbert_False_RidgeClassifier          retweets_distilbert_False_XGBClassifier   -0.002    0.9 -0.0364  0.0324  False
       retweets_distilbert_False_RidgeClassifier           retweets_distilbert_True_MLPClassifier  -0.0331 0.0817 -0.0676  0.0013  False
       retweets_distilbert_False_RidgeClassifier  retweets_distilbert_True_RandomForestClassifier  -0.0016    0.9  -0.036  0.0329  False
       retweets_distilbert_False_RidgeClassifier         retweets_distilbert_True_RidgeClassifier  -0.0016    0.9  -0.036  0.0329  False
       retweets_distilbert_False_RidgeClassifier           retweets_distilbert_True_XGBClassifier  -0.0033    0.9 -0.0378  0.0311  False
       retweets_distilbert_False_RidgeClassifier            retweets_fasttext_False_MLPClassifier  -0.0153    0.9 -0.0498  0.0191  False
       retweets_distilbert_False_RidgeClassifier   retweets_fasttext_False_RandomForestClassifier  -0.0067    0.9 -0.0411  0.0278  False
       retweets_distilbert_False_RidgeClassifier          retweets_fasttext_False_RidgeClassifier  -0.0067    0.9 -0.0411  0.0278  False
       retweets_distilbert_False_RidgeClassifier            retweets_fasttext_False_XGBClassifier   0.0002    0.9 -0.0342  0.0347  False
       retweets_distilbert_False_RidgeClassifier             retweets_fasttext_True_MLPClassifier  -0.0089    0.9 -0.0433  0.0255  False
       retweets_distilbert_False_RidgeClassifier    retweets_fasttext_True_RandomForestClassifier  -0.0018    0.9 -0.0362  0.0327  False
       retweets_distilbert_False_RidgeClassifier           retweets_fasttext_True_RidgeClassifier  -0.0018    0.9 -0.0362  0.0327  False
       retweets_distilbert_False_RidgeClassifier             retweets_fasttext_True_XGBClassifier   0.0044    0.9   -0.03  0.0389  False
       retweets_distilbert_False_RidgeClassifier               retweets_glove_False_MLPClassifier  -0.0233 0.7399 -0.0578  0.0111  False
