NORMALITY:
                                                      W      pval  normal
         likes_distilbert_False_MLPClassifier likes_structured_False_RandomForestClassifier  -0.0178 0.8651  -0.046  0.0105  False
         likes_distilbert_False_MLPClassifier        likes_structured_False_RidgeClassifier  -0.0178 0.8651  -0.046  0.0105  False
         likes_distilbert_False_MLPClassifier          likes_structured_False_XGBClassifier  -0.0296 0.0263 -0.0578 -0.0013   True
likes_distilbert_False_RandomForestClassifier        likes_distilbert_False_RidgeClassifier      0.0    0.9 -0.0282  0.0282  False
likes_distilbert_False_RandomForestClassifier          likes_distilbert_False_XGBClassifier  -0.0056    0.9 -0.0338  0.0227  False
likes_distilbert_False_RandomForestClassifier           likes_distilbert_True_MLPClassifier  -0.0202 0.6398 -0.0485   0.008  False
likes_distilbert_False_RandomForestClassifier  likes_distilbert_True_RandomForestClassifier   0.0013    0.9 -0.0269  0.0296  False
likes_distilbert_False_RandomForestClassifier         likes_distilbert_True_RidgeClassifier   0.0013    0.9 -0.0269  0.0296  False
likes_distilbert_False_RandomForestClassifier           likes_distilbert_True_XGBClassifier  -0.0067    0.9 -0.0349  0.0216  False
likes_distilbert_False_RandomForestClassifier            likes_fasttext_False_MLPClassifier  -0.0631  0.001 -0.0914 -0.0349   True
likes_distilbert_False_RandomForestClassifier   likes_fasttext_False_RandomForestClassifier  -0.0378  0.001  -0.066 -0.0096   True
likes_distilbert_False_RandomForestClassifier          likes_fasttext_False_RidgeClassifier  -0.0378  0.001  -0.066 -0.0096   True
likes_distilbert_False_RandomForestClassifier            likes_fasttext_False_XGBClassifier  -0.0331 0.0037 -0.0614 -0.0049   True
likes_distilbert_False_RandomForestClassifier             likes_fasttext_True_MLPClassifier  -0.0554  0.001 -0.0836 -0.0271   True
likes_distilbert_False_RandomForestClassifier    likes_fasttext_True_RandomForestClassifier  -0.0365  0.001 -0.0647 -0.0082   True
likes_distilbert_False_RandomForestClassifier           likes_fasttext_True_RidgeClassifier  -0.0365  0.001 -0.0647 -0.0082   True
likes_distilbert_False_RandomForestClassifier             likes_fasttext_True_XGBClassifier  -0.0345 0.0017 -0.0627 -0.0062   True
likes_distilbert_False_RandomForestClassifier               likes_glove_False_MLPClassifier  -0.0416  0.001 -0.0698 -0.0133   True
likes_distilbert_False_RandomForestClassifier      likes_glove_False_RandomForestClassifier  -0.0107    0.9 -0.0389  0.0176  False
likes_distilbert_False_RandomForestClassifier             likes_glove_False_RidgeClassifier  -0.0107    0.9 -0.0389  0.0176  False
likes_distilbert_False_RandomForestClassifier               likes_glove_False_XGBClassifier  -0.0227 0.4017 -0.0509  0.0056  False
likes_distilbert_False_RandomForestClassifier                likes_glove_True_MLPClassifier  -0.0289 0.0369 -0.0572 -0.0007   True
likes_distilbert_False_RandomForestClassifier       likes_glove_True_RandomForestClassifier  -0.0087    0.9 -0.0369  0.0196  False
likes_distilbert_False_RandomForestClassifier              likes_glove_True_RidgeClassifier  -0.0087    0.9 -0.0369  0.0196  False
likes_distilbert_False_RandomForestClassifier                likes_glove_True_XGBClassifier  -0.0169    0.9 -0.0451  0.0114  False
likes_distilbert_False_RandomForestClassifier             likes_roberta_False_MLPClassifier  -0.0104    0.9 -0.0387  0.0178  False
likes_distilbert_False_RandomForestClassifier    likes_roberta_False_RandomForestClassifier   0.0029    0.9 -0.0253  0.0312  False
