NORMALITY:
                                                        W      pval  normal
         replies_distilbert_False_MLPClassifier replies_structured_False_RandomForestClassifier  -0.0218 0.6205 -0.0519  0.0083  False
         replies_distilbert_False_MLPClassifier        replies_structured_False_RidgeClassifier  -0.0218 0.6205 -0.0519  0.0083  False
         replies_distilbert_False_MLPClassifier          replies_structured_False_XGBClassifier   -0.028 0.1191 -0.0582  0.0021  False
replies_distilbert_False_RandomForestClassifier        replies_distilbert_False_RidgeClassifier      0.0    0.9 -0.0301  0.0301  False
replies_distilbert_False_RandomForestClassifier          replies_distilbert_False_XGBClassifier  -0.0027    0.9 -0.0328  0.0275  False
replies_distilbert_False_RandomForestClassifier           replies_distilbert_True_MLPClassifier  -0.0325  0.017 -0.0626 -0.0023   True
replies_distilbert_False_RandomForestClassifier  replies_distilbert_True_RandomForestClassifier   -0.002    0.9 -0.0321  0.0281  False
replies_distilbert_False_RandomForestClassifier         replies_distilbert_True_RidgeClassifier   -0.002    0.9 -0.0321  0.0281  False
replies_distilbert_False_RandomForestClassifier           replies_distilbert_True_XGBClassifier  -0.0071    0.9 -0.0372   0.023  False
replies_distilbert_False_RandomForestClassifier            replies_fasttext_False_MLPClassifier  -0.0209 0.6982  -0.051  0.0092  False
replies_distilbert_False_RandomForestClassifier   replies_fasttext_False_RandomForestClassifier  -0.0182    0.9 -0.0484  0.0119  False
replies_distilbert_False_RandomForestClassifier          replies_fasttext_False_RidgeClassifier  -0.0182    0.9 -0.0484  0.0119  False
replies_distilbert_False_RandomForestClassifier            replies_fasttext_False_XGBClassifier  -0.0278 0.1277 -0.0579  0.0023  False
replies_distilbert_False_RandomForestClassifier             replies_fasttext_True_MLPClassifier   -0.024 0.4203 -0.0541  0.0061  False
replies_distilbert_False_RandomForestClassifier    replies_fasttext_True_RandomForestClassifier  -0.0147    0.9 -0.0448  0.0155  False
replies_distilbert_False_RandomForestClassifier           replies_fasttext_True_RidgeClassifier  -0.0147    0.9 -0.0448  0.0155  False
replies_distilbert_False_RandomForestClassifier             replies_fasttext_True_XGBClassifier  -0.0211  0.679 -0.0513   0.009  False
replies_distilbert_False_RandomForestClassifier               replies_glove_False_MLPClassifier  -0.0433  0.001 -0.0735 -0.0132   True
replies_distilbert_False_RandomForestClassifier      replies_glove_False_RandomForestClassifier   -0.018    0.9 -0.0481  0.0121  False
replies_distilbert_False_RandomForestClassifier             replies_glove_False_RidgeClassifier   -0.018    0.9 -0.0481  0.0121  False
replies_distilbert_False_RandomForestClassifier               replies_glove_False_XGBClassifier  -0.0236 0.4663 -0.0537  0.0066  False
replies_distilbert_False_RandomForestClassifier                replies_glove_True_MLPClassifier  -0.0287 0.0914 -0.0588  0.0015  False
replies_distilbert_False_RandomForestClassifier       replies_glove_True_RandomForestClassifier    -0.02  0.776 -0.0501  0.0101  False
replies_distilbert_False_RandomForestClassifier              replies_glove_True_RidgeClassifier    -0.02  0.776 -0.0501  0.0101  False
replies_distilbert_False_RandomForestClassifier                replies_glove_True_XGBClassifier  -0.0193 0.8349 -0.0495  0.0108  False
replies_distilbert_False_RandomForestClassifier             replies_roberta_False_MLPClassifier  -0.0345  0.006 -0.0646 -0.0043   True
replies_distilbert_False_RandomForestClassifier    replies_roberta_False_RandomForestClassifier  -0.0291 0.0768 -0.0593   0.001  False
replies_distilbert_False_RandomForestClassifier           replies_roberta_False_RidgeClassifier  -0.0291 0.0768 -0.0593   0.001  False
replies_distilbert_False_RandomForestClassifier             replies_roberta_False_XGBClassifier  -0.0396  0.001 -0.0697 -0.0095   True
replies_distilbert_False_RandomForestClassifier              replies_roberta_True_MLPClassifier  -0.0249 0.3268 -0.0551  0.0052  False
replies_distilbert_False_RandomForestClassifier     replies_roberta_True_RandomForestClassifier  -0.0269 0.1751 -0.0571  0.0032  False
